RefPeriodId,ExportValue,ImportValue,ChangeInExport,ChangeInImport,ExchangeRate,ChangeInExchangeRate,ArticlesWritten
2022-01-01,23678126060,33581174650,-0.265,0.059,20.498,-4.336,16
2022-02-01,23715199142,32852150686,0.157,-2.171,20.547,0.239,27
2022-03-01,28531603478,40846337145,20.309,24.334,20.653,0.516,43
2022-04-01,27316413320,39250910476,-4.259,-3.906,19.86,-3.84,34
2022-05-01,28912352804,39879596243,5.842,1.602,20.45,2.971,30
2022-06-01,28458579349,39783928866,-1.569,-0.24,19.713,-3.604,29
2022-07-01,27341052437,38142901522,-3.927,-4.125,20.263,2.79,25
2022-08-01,29984411764,40674092329,9.668,6.636,20.467,1.007,17
2022-09-01,27915721289,39852833098,-6.899,-2.019,20.191,-1.349,28
2022-10-01,28007364823,40747116264,0.328,2.244,20.137,-0.267,24
2022-11-01,25596233118,37143330445,-8.609,-8.844,19.713,-2.106,26
2022-12-01,24920711352,36423284633,-2.639,-1.939,19.151,-2.851,21
