RefPeriodId,ExportValue,ImportValue,ChangeInExport,ChangeInImport,ExchangeRate,ChangeInExchangeRate,ArticlesWritten
2019-01-01,7134335725,43544185599,-21.985,-9.612,6.868,-1.237,157
2019-02-01,8433505586,34731013048,18.21,-20.24,6.746,-1.776,143
2019-03-01,10426534236,32573204847,23.632,-6.213,6.706,-0.593,121
2019-04-01,7896343239,36371912425,-24.267,11.662,6.712,0.089,102
2019-05-01,9074473051,41020739754,14.92,12.781,6.733,0.313,215
2019-06-01,9034701871,40709722303,-0.438,-0.758,6.903,2.525,192
2019-07-01,8733722540,43365457838,-3.331,6.524,6.852,-0.739,141
2019-08-01,9430622662,43023746044,7.979,-0.788,6.898,0.671,222
2019-09-01,8597674348,42005097508,-8.832,-2.368,7.155,3.726,119
2019-10-01,8886400287,41889083881,3.358,-0.276,7.148,-0.098,129
2019-11-01,10103214602,38033396014,13.693,-9.205,7.037,-1.553,101
2019-12-01,8875116929,35197354483,-12.156,-7.457,7.032,-0.071,118
2020-01-01,7215277367,34882851376,-18.702,-0.894,6.966,-0.939,175
2020-02-01,6815003227,23935874080,-5.548,-31.382,6.936,-0.431,169
2020-03-01,7971886841,20703079757,16.976,-13.506,6.991,0.793,164
2020-04-01,8604695406,32598814652,7.938,57.459,7.1,1.559,149
2020-05-01,9641702167,38390679110,12.052,17.767,7.062,-0.535,173
2020-06-01,9242237839,39389734446,-4.143,2.602,7.128,0.935,112
2020-07-01,9037041472,42601133577,-2.22,8.153,7.071,-0.8,116
2020-08-01,11036065342,42877734646,22.12,0.649,6.975,-1.358,118
2020-09-01,11536750031,43328893641,4.537,1.052,6.828,-2.108,97
2020-10-01,14723004934,47129520737,27.618,8.772,6.791,-0.542,103
2020-11-01,14179314111,47164690487,-3.693,0.075,6.692,-1.458,100
2020-12-01,14645528896,44161209000,3.288,-6.368,6.573,-1.778,116
2021-01-01,12860944494,41306811907,-12.185,-6.464,6.531,-0.639,67
2021-02-01,9410461096,36028344343,-26.829,-12.779,6.467,-0.98,70
2021-03-01,12542256454,42624054026,33.28,18.307,6.466,-0.015,91
2021-04-01,11759916178,39868175908,-6.238,-6.466,6.565,1.531,63
2021-05-01,12411324120,41137313292,5.539,3.183,6.474,-1.386,42
2021-06-01,12102037389,42648054547,-2.492,3.672,6.383,-1.406,83
2021-07-01,11719957383,43281796905,-3.157,1.486,6.476,1.457,62
2021-08-01,11258642406,46394792455,-3.936,7.192,6.467,-0.139,50
2021-09-01,10910600180,51060021718,-3.091,10.056,6.463,-0.062,76
2021-10-01,16635341351,51833170776,52.47,1.514,6.447,-0.248,86
2021-11-01,16068979066,52137438584,-3.405,0.587,6.401,-0.714,78
2021-12-01,13384717277,53211377781,-16.705,2.06,6.369,-0.5,91
2022-01-01,11475205432,51584018551,-14.266,-3.058,6.354,-0.236,53
2022-02-01,11593988132,45641233189,1.035,-11.521,6.362,0.126,76
2022-03-01,13375086886,51018222406,15.362,11.781,6.312,-0.786,131
2022-04-01,11201677821,45225798352,-16.25,-11.354,6.363,0.808,71
2022-05-01,12321316735,47349870909,9.995,4.697,6.608,3.85,92
2022-06-01,11678394417,52271223140,-5.218,10.394,6.698,1.362,97
2022-07-01,12267235538,50287335394,5.042,-3.795,6.701,0.045,99
2022-08-01,12906699996,54063192493,5.213,7.509,6.77,1.03,86
2022-09-01,11953490780,52463037280,-7.385,-2.96,6.902,1.95,84
2022-10-01,15698326452,47372827888,31.328,-9.702,7.112,3.043,88
2022-11-01,15576005996,39115221655,-0.779,-17.431,7.269,2.208,87
2022-12-01,13789594230,39296109915,-11.469,0.462,7.053,-2.972,76
